machine_id,timestamp,temperature,vibration,pressure
PUMP_A,2026-02-26 14:22:27,66.09,1.266,4.1
PUMP_B,2026-02-26 14:22:27,65.92,2.192,3.94
MOTOR_C,2026-02-26 14:22:27,65.01,1.985,3.75
COMPRESSOR_D,2026-02-26 14:22:27,70.2,2.071,4.41
PUMP_A,2026-02-26 14:22:29,66.13,1.037,4.25
PUMP_B,2026-02-26 14:22:29,65.11,2.068,3.82
MOTOR_C,2026-02-26 14:22:29,66.48,1.356,4.38
COMPRESSOR_D,2026-02-26 14:22:29,68.41,1.495,4.26
PUMP_A,2026-02-26 14:22:31,73.91,1.754,3.97
PUMP_B,2026-02-26 14:22:31,64.58,2.342,3.79
MOTOR_C,2026-02-26 14:22:31,67.82,1.718,4.05
COMPRESSOR_D,2026-02-26 14:22:31,62.85,2.08,4.74
PUMP_A,2026-02-26 14:22:33,65.79,1.072,4.26
PUMP_B,2026-02-26 14:22:33,73.9,1.276,4.09
MOTOR_C,2026-02-26 14:22:33,72.09,1.129,4.71
COMPRESSOR_D,2026-02-26 14:22:33,65.35,1.161,4.78
PUMP_A,2026-02-26 14:22:36,72.96,2.225,4.38
PUMP_B,2026-02-26 14:22:36,62.41,2.398,4.13
MOTOR_C,2026-02-26 14:22:36,70.67,2.357,3.66
COMPRESSOR_D,2026-02-26 14:22:36,68.12,2.26,4.58
PUMP_A,2026-02-26 14:22:38,72.96,1.559,4.51
PUMP_B,2026-02-26 14:22:38,69.33,1.064,4.0
MOTOR_C,2026-02-26 14:22:38,67.12,1.234,3.79
COMPRESSOR_D,2026-02-26 14:22:38,62.19,1.523,3.79
PUMP_A,2026-02-26 14:22:40,68.13,1.086,4.01
PUMP_B,2026-02-26 14:22:40,63.08,1.192,4.21
MOTOR_C,2026-02-26 14:22:40,63.8,2.02,4.09
COMPRESSOR_D,2026-02-26 14:22:40,66.83,2.14,3.98
PUMP_A,2026-02-26 14:22:42,65.62,1.855,3.83
PUMP_B,2026-02-26 14:22:42,68.94,2.106,4.3
MOTOR_C,2026-02-26 14:22:42,70.93,2.359,3.81
COMPRESSOR_D,2026-02-26 14:22:42,64.09,1.882,4.35
PUMP_A,2026-02-26 14:22:44,72.16,1.507,4.13
PUMP_B,2026-02-26 14:22:44,70.34,1.327,4.05
MOTOR_C,2026-02-26 14:22:44,65.65,2.294,4.17
COMPRESSOR_D,2026-02-26 14:22:44,67.73,1.994,4.13
PUMP_A,2026-02-26 14:22:46,71.88,2.373,4.45
PUMP_B,2026-02-26 14:22:46,66.17,2.357,4.68
MOTOR_C,2026-02-26 14:22:46,63.77,1.284,3.62
COMPRESSOR_D,2026-02-26 14:22:46,67.41,1.684,4.14
PUMP_A,2026-02-26 14:22:45,71.21,1.95,4.51
PUMP_B,2026-02-26 14:22:45,64.15,1.756,4.11
MOTOR_C,2026-02-26 14:22:45,65.09,1.478,3.72
COMPRESSOR_D,2026-02-26 14:22:45,73.8,1.131,4.31
PUMP_A,2026-02-26 14:22:47,63.83,1.462,4.0
PUMP_B,2026-02-26 14:22:47,64.1,2.016,4.04
MOTOR_C,2026-02-26 14:22:47,71.12,1.93,4.3
COMPRESSOR_D,2026-02-26 14:22:47,68.35,1.869,4.28
PUMP_A,2026-02-26 14:22:49,62.48,1.832,4.22
PUMP_B,2026-02-26 14:22:49,73.26,2.203,4.05
MOTOR_C,2026-02-26 14:22:49,73.03,1.838,4.25
COMPRESSOR_D,2026-02-26 14:22:49,72.82,1.003,4.28
